eventid|venueid|catid|eventname|starttime
8749|35|9|Duffy|2008-07-23 15:00:00.000000
26|307|8|Il Trovatore|2008-07-24 19:30:00.000000
45|302|8|La Sonnambula|2008-07-24 20:00:00.000000
841|238|6|Mamma Mia!|2008-07-24 20:00:00.000000
1642|257|6|Mystere Cirque du Soleil|2008-07-24 20:00:00.000000
1693|251|6|Legally Blonde|2008-07-24 20:00:00.000000
2018|208|7|The Caucasian Chalk Circle|2008-07-24 20:00:00.000000
2568|241|7|Thurgood|2008-07-24 14:00:00.000000
3375|220|7|Uncle Vanya|2008-07-24 19:00:00.000000
4010|1|9|Allman Brothers Band|2008-07-24 20:00:00.000000
4084|64|9|Black Crowes|2008-07-24 14:00:00.000000
4883|34|9|Backstreet Boys|2008-07-24 19:00:00.000000
5826|64|9|Steve Winwood|2008-07-24 15:00:00.000000
6948|66|9|Kansas|2008-07-24 19:30:00.000000
8602|3|9|Toad The Wet Sprocket|2008-07-24 15:00:00.000000
8646|83|9|Motorhead|2008-07-24 15:00:00.000000
149|304|8|Doctor Atomic|2008-07-25 20:00:00.000000
751|201|6|Curtains|2008-07-25 19:00:00.000000
787|200|6|The King and I|2008-07-25 20:00:00.000000
2223|216|7|The Seagull|2008-07-25 19:00:00.000000
2306|234|7|Avenue Q|2008-07-25 14:30:00.000000
2434|208|7|Thurgood|2008-07-25 14:00:00.000000
4007|84|9|Mariah Carey|2008-07-25 19:30:00.000000
4066|40|9|Decemberists|2008-07-25 14:00:00.000000
4613|30|9|Jim Brickman|2008-07-25 14:00:00.000000
5559|38|9|Vans Warped Tour|2008-07-25 14:00:00.000000
5908|28|9|Chromeo|2008-07-25 19:00:00.000000
6507|15|9|Teen Choice Awards|2008-07-25 19:30:00.000000
6681|90|9|Weird Al Yankovic|2008-07-25 19:00:00.000000
7767|121|9|Jesse Lacey|2008-07-25 14:00:00.000000
8708|31|9|Black Eyed Peas|2008-07-25 19:00:00.000000
643|218|6|Fiddler on the Roof|2008-07-26 19:30:00.000000
1076|243|6|Gypsy|2008-07-26 15:00:00.000000
2642|217|7|The Caretaker|2008-07-26 14:30:00.000000
3270|203|7|The Seagull|2008-07-26 14:30:00.000000
5521|113|9|George Jones|2008-07-26 15:00:00.000000
5772|9|9|Marc Anthony|2008-07-26 14:00:00.000000
5999|37|9|Billy Joel|2008-07-26 19:00:00.000000
6198|67|9|Fab Faux|2008-07-26 19:00:00.000000
6345|58|9|U2|2008-07-26 19:00:00.000000
6611|52|9|At The Gates|2008-07-26 19:00:00.000000
6832|13|9|Jerry Jeff Walker|2008-07-26 14:00:00.000000
7854|120|9|Johnny Mathis|2008-07-26 14:00:00.000000
8512|96|9|LeAnn Rimes|2008-07-26 15:00:00.000000
8684|123|9|Led Zeppelin|2008-07-26 19:30:00.000000
1205|249|6|West Side Story|2008-07-27 19:00:00.000000
1564|254|6|Le Reve|2008-07-27 15:00:00.000000
3057|204|7|The Country Girl|2008-07-27 14:30:00.000000
4964|119|9|Steven Curtis Chapman|2008-07-27 19:30:00.000000
5033|18|9|Eddie Money|2008-07-27 14:00:00.000000
5285|40|9|Brian McKnight|2008-07-27 14:00:00.000000
5369|112|9|Jason Aldean|2008-07-27 15:00:00.000000
6075|82|9|Conor Oberst|2008-07-27 15:00:00.000000
6413|77|9|Lionel Richie|2008-07-27 19:30:00.000000
7030|15|9|Ween|2008-07-27 19:30:00.000000
7137|3|9|Janet Jackson|2008-07-27 19:00:00.000000
7357|98|9|Echo & the Bunnymen|2008-07-27 19:30:00.000000
7793|2|9|Cute Is What We Aim For|2008-07-27 14:00:00.000000
8133|102|9|Ben E. King|2008-07-27 15:00:00.000000
219|307|8|La Gioconda|2008-07-28 19:30:00.000000
1975|224|7|As You Like It|2008-07-28 19:30:00.000000
2305|236|7|The Tempest|2008-07-28 14:30:00.000000
4308|19|9|Peter Frampton|2008-07-28 19:30:00.000000
5269|100|9|Ben Harper|2008-07-28 15:00:00.000000
5361|66|9|Hall and Oates|2008-07-28 15:00:00.000000
5878|35|9|Pat Benatar|2008-07-28 19:00:00.000000
5881|99|9|Motley Crue|2008-07-28 19:30:00.000000
5911|45|9|Eric Clapton|2008-07-28 15:00:00.000000
7951|5|9|Joan Baez|2008-07-28 15:00:00.000000
8194|15|9|Wolf Parade|2008-07-28 14:00:00.000000
8405|123|9|Linda Ronstadt|2008-07-28 15:00:00.000000
558|234|6|Grease|2008-07-29 20:00:00.000000
1620|263|6|Legally Blonde|2008-07-29 14:00:00.000000
1703|257|6|Mystere Cirque du Soleil|2008-07-29 14:30:00.000000
2198|212|7|A Bronx Tale|2008-07-29 19:30:00.000000
3603|237|7|The Seafarer|2008-07-29 19:30:00.000000
6689|107|9|Rick Springfield|2008-07-29 14:00:00.000000
6928|126|9|Serj Tankian|2008-07-29 15:00:00.000000
7386|39|9|Rod Stewart|2008-07-29 14:00:00.000000
8270|107|9|Creedence Clearwater Revisited|2008-07-29 14:00:00.000000
8399|5|9|Decemberists|2008-07-29 19:00:00.000000
690|218|6|South Pacific|2008-07-30 20:00:00.000000
1025|202|6|State Fair|2008-07-30 15:00:00.000000
1271|220|6|Curtains|2008-07-30 15:00:00.000000
2598|235|7|Woyzeck|2008-07-30 14:30:00.000000
4495|7|9|Toad The Wet Sprocket|2008-07-30 19:30:00.000000
4690|56|9|Brian McKnight|2008-07-30 15:00:00.000000
4852|129|9|Mark Knopfler|2008-07-30 19:00:00.000000
5562|110|9|Robert Cray Band|2008-07-30 19:00:00.000000
5588|81|9|Chromeo|2008-07-30 19:30:00.000000
6565|127|9|Johnny Mathis|2008-07-30 19:00:00.000000
7001|84|9|Maze|2008-07-30 15:00:00.000000
7530|72|9|Pat Benatar|2008-07-30 19:30:00.000000
459|304|8|La Rondine|2008-07-31 14:00:00.000000
997|223|6|Legally Blonde|2008-07-31 14:30:00.000000
1414|205|6|Dirty Dancing|2008-07-31 14:30:00.000000
1492|221|6|Dirty Dancing|2008-07-31 14:30:00.000000
2869|212|7|The Seafarer|2008-07-31 20:00:00.000000
3664|208|7|A Streetcar Named Desire|2008-07-31 14:30:00.000000
3829|43|9|ZZ Top|2008-07-31 20:00:00.000000
4468|21|9|Foo Fighters|2008-07-31 14:30:00.000000
5256|43|9|Greg Kihn Band|2008-07-31 15:00:00.000000
6170|59|9|Smash Mouth|2008-07-31 19:00:00.000000
7393|83|9|Steely Dan|2008-07-31 15:00:00.000000
7409|7|9|Cold War Kids|2008-07-31 14:00:00.000000
7836|61|9|Bruce Hornsby|2008-07-31 14:00:00.000000
8132|33|9|Nick Cave|2008-07-31 15:00:00.000000
8319|33|9|Smokey Robinson|2008-07-31 19:00:00.000000
779|224|6|Hairspray|2008-08-01 14:00:00.000000
967|223|6|A Chorus Line|2008-08-01 19:00:00.000000
2571|220|7|Endgame|2008-08-01 20:00:00.000000
3823|96|9|Chromeo|2008-08-01 20:00:00.000000
4529|87|9|Wilco|2008-08-01 14:30:00.000000
5440|30|9|Johnny Mathis|2008-08-01 14:00:00.000000
6336|18|9|Lindsey Buckingham|2008-08-01 19:30:00.000000
7432|79|9|James Blunt|2008-08-01 19:30:00.000000
8617|77|9|Enrique Iglesias|2008-08-01 19:00:00.000000
667|223|6|Grease|2008-08-02 20:00:00.000000
2129|215|7|Miss Julie|2008-08-02 14:30:00.000000
2955|214|7|August: Osage County|2008-08-02 14:00:00.000000
3076|208|7|Oedipus the King|2008-08-02 19:00:00.000000
3119|204|7|Macbeth|2008-08-02 15:00:00.000000
4321|42|9|Temptations|2008-08-02 19:30:00.000000
4914|71|9|Country Jam USA|2008-08-02 19:30:00.000000
6134|40|9|Celine Dion|2008-08-02 19:30:00.000000
6552|50|9|Janet Jackson|2008-08-02 15:00:00.000000
6914|86|9|Stray Cats|2008-08-02 15:00:00.000000
8070|42|9|Bootsy Collins|2008-08-02 15:00:00.000000
8140|91|9|Built To Spill|2008-08-02 19:00:00.000000
8351|80|9|Hot Chip|2008-08-02 15:00:00.000000
8584|23|9|Kansas|2008-08-02 14:00:00.000000
1946|208|7|Avenue Q|2008-08-03 19:30:00.000000
2298|203|7|A Midsummer Night's Dream|2008-08-03 14:30:00.000000
2404|225|7|Electra|2008-08-03 19:30:00.000000
2458|231|7|The Homecoming|2008-08-03 20:00:00.000000
2777|233|7|A Tale of Two Cities|2008-08-03 20:00:00.000000
3489|203|7|Avenue Q|2008-08-03 14:00:00.000000
3518|228|7|Glengarry Glen Ross|2008-08-03 20:00:00.000000
3935|116|9|Los Lonely Boys|2008-08-03 15:00:00.000000
4261|102|9|Live|2008-08-03 14:00:00.000000
4557|83|9|Nofx|2008-08-03 14:30:00.000000
4713|16|9|Tom Jones|2008-08-03 19:00:00.000000
5350|58|9|King Crimson|2008-08-03 19:00:00.000000
6444|30|9|Sara Bareilles|2008-08-03 14:00:00.000000
6718|101|9|Iggy and the Stooges|2008-08-03 15:00:00.000000
6822|104|9|Ani DiFranco|2008-08-03 15:00:00.000000
7631|58|9|Ray Lamontagne|2008-08-03 14:00:00.000000
7756|70|9|Black Crowes|2008-08-03 19:30:00.000000
8289|107|9|Zucchero|2008-08-03 14:00:00.000000
836|224|6|Chicago|2008-08-04 19:00:00.000000
1672|257|6|Legally Blonde|2008-08-04 14:00:00.000000
1911|233|7|Passing Strange|2008-08-04 19:00:00.000000
2022|242|7|As You Like It|2008-08-04 14:00:00.000000
3041|229|7|Cirque du Soleil|2008-08-04 15:00:00.000000
4906|117|9|Carrie Underwood|2008-08-04 19:30:00.000000
6140|129|9|Aretha Franklin|2008-08-04 14:00:00.000000
6919|34|9|Montgomery Gentry|2008-08-04 14:00:00.000000
7161|34|9|Burt Bacharach|2008-08-04 14:00:00.000000
8736|77|9|Stephenie Meyer|2008-08-04 14:00:00.000000
175|309|8|Orfeo ed Euridice|2008-08-05 14:30:00.000000
371|307|8|Il Trovatore|2008-08-05 14:30:00.000000
544|222|6|Shrek the Musical|2008-08-05 15:00:00.000000
1108|231|6|Hairspray|2008-08-05 14:00:00.000000
2085|225|7|Spring Awakening|2008-08-05 19:00:00.000000
4738|80|9|Ben Harper|2008-08-05 14:30:00.000000
5252|14|9|B.B. King|2008-08-05 14:00:00.000000
7359|26|9|King Crimson|2008-08-05 14:00:00.000000
7539|4|9|Seal|2008-08-05 19:00:00.000000
2476|203|7|Rhinoceros|2008-08-06 14:00:00.000000
2757|247|7|Macbeth|2008-08-06 15:00:00.000000
4678|93|9|The Black Keys|2008-08-06 14:30:00.000000
4932|25|9|Alice Cooper|2008-08-06 15:00:00.000000
6797|114|9|Jesse Lacey|2008-08-06 19:00:00.000000
7067|53|9|Linda Eder|2008-08-06 19:00:00.000000
7175|34|9|Snoop Dogg|2008-08-06 19:00:00.000000
7551|90|9|Hot Tuna|2008-08-06 19:00:00.000000
8625|129|9|Melissa Etheridge|2008-08-06 14:00:00.000000
531|219|6|Pal Joey|2008-08-07 14:00:00.000000
593|214|6|Jersey Boys|2008-08-07 19:00:00.000000
696|220|6|Chicago|2008-08-07 19:00:00.000000
1565|262|6|Blue Man Group|2008-08-07 20:00:00.000000
2311|211|7|Avenue Q|2008-08-07 14:00:00.000000
2752|211|7|The Country Girl|2008-08-07 20:00:00.000000
3529|223|7|November|2008-08-07 20:00:00.000000
4170|72|9|Vampire Weekend|2008-08-07 19:00:00.000000
4207|42|9|Phil Vassar|2008-08-07 20:00:00.000000
5130|9|9|Ryan Adams|2008-08-07 19:30:00.000000
5179|90|9|Daughtry|2008-08-07 15:00:00.000000
5799|32|9|Counting Crows and Maroon 5|2008-08-07 15:00:00.000000
5905|77|9|Broken Social Scene|2008-08-07 19:30:00.000000
6453|66|9|Bamboozle Left|2008-08-07 14:00:00.000000
7497|64|9|Alkaline Trio|2008-08-07 19:30:00.000000
2547|243|7|The Seagull|2008-08-08 14:00:00.000000
2646|249|7|Passing Strange|2008-08-08 14:00:00.000000
3833|88|9|Marc Anthony|2008-08-08 14:30:00.000000
3952|56|9|Jack Johnson|2008-08-08 14:30:00.000000
3976|68|9|Southside Johnny & the Asbury Jukes|2008-08-08 20:00:00.000000
4320|103|9|Extreme|2008-08-08 19:30:00.000000
4960|6|9|Dave Matthews Band|2008-08-08 19:00:00.000000
5389|68|9|Shakira|2008-08-08 14:00:00.000000
6049|125|9|Southside Johnny & the Asbury Jukes|2008-08-08 14:00:00.000000
6416|48|9|Keith Urban|2008-08-08 19:00:00.000000
8155|9|9|Vampire Weekend|2008-08-08 15:00:00.000000
8638|90|9|Oliver Dragojevic|2008-08-08 19:30:00.000000
77|305|8|Die Walkure|2008-08-09 15:00:00.000000
88|304|8|Rigoletto|2008-08-09 15:00:00.000000
160|306|8|Siegfried|2008-08-09 19:30:00.000000
220|308|8|Das Rheingold|2008-08-09 19:30:00.000000
221|302|8|The Queen of Spades|2008-08-09 14:00:00.000000
257|307|8|The Magic Flute|2008-08-09 20:00:00.000000
3721|230|7|The Country Girl|2008-08-09 19:30:00.000000
4097|97|9|Danny Nova|2008-08-09 20:00:00.000000
4427|55|9|Rick Braun|2008-08-09 14:00:00.000000
4717|78|9|Randy Travis|2008-08-09 15:00:00.000000
5242|75|9|Chris Isaak|2008-08-09 14:00:00.000000
5426|75|9|Little Big Town|2008-08-09 14:00:00.000000
5782|54|9|Kenny Wayne Shepherd|2008-08-09 14:00:00.000000
8022|30|9|Jill Scott|2008-08-09 19:00:00.000000
8082|98|9|Led Zeppelin|2008-08-09 15:00:00.000000
8311|121|9|Poison|2008-08-09 19:00:00.000000
8631|69|9|The Whigs|2008-08-09 19:00:00.000000
8759|119|9|Joe Cocker|2008-08-09 15:00:00.000000
617|208|6|Pal Joey|2008-08-10 20:00:00.000000
642|216|6|State Fair|2008-08-10 20:00:00.000000
2033|209|7|A Doll's House|2008-08-10 19:30:00.000000
2269|213|7|Young Frankenstein|2008-08-10 19:30:00.000000
3162|222|7|The Caretaker|2008-08-10 19:30:00.000000
4027|34|9|Gipsy Kings|2008-08-10 15:00:00.000000
4549|79|9|Boston|2008-08-10 19:30:00.000000
6503|112|9|Kiss|2008-08-10 14:00:00.000000
7976|66|9|Cute Is What We Aim For|2008-08-10 19:00:00.000000
119|300|8|La Rondine|2008-08-11 14:00:00.000000
193|304|8|Il Trovatore|2008-08-11 14:00:00.000000
511|224|6|Memphis - The Birth of Rock n Roll|2008-08-11 14:00:00.000000
1619|254|6|Beatles LOVE|2008-08-11 15:00:00.000000
2059|228|7|A Man For All Seasons|2008-08-11 14:30:00.000000
3100|232|7|The Country Girl|2008-08-11 15:00:00.000000
3257|221|7|The Country Girl|2008-08-11 14:00:00.000000
3456|213|7|Young Frankenstein|2008-08-11 20:00:00.000000
3481|217|7|Rosencrantz and Guildenstern Are Dead|2008-08-11 14:30:00.000000
4246|130|9|Bo Bice|2008-08-11 14:30:00.000000
4821|8|9|Dierks Bentley|2008-08-11 15:00:00.000000
5868|104|9|Wallflowers|2008-08-11 19:30:00.000000
6304|25|9|Marc Anthony|2008-08-11 15:00:00.000000
8371|2|9|Ray Davies|2008-08-11 19:00:00.000000
8687|75|9|Michael Buble|2008-08-11 15:00:00.000000
156|307|8|La Damnation de Faust|2008-08-12 19:30:00.000000
442|309|8|Rusalka|2008-08-12 14:00:00.000000
1957|224|7|The Seafarer|2008-08-12 19:00:00.000000
2934|206|7|The Farnsworth Invention|2008-08-12 15:00:00.000000
4129|46|9|Indigo Girls|2008-08-12 19:00:00.000000
4180|52|9|The Jesus and Mary Chain|2008-08-12 15:00:00.000000
5370|12|9|Herbie Hancock|2008-08-12 19:30:00.000000
5712|6|9|Ringo Starr|2008-08-12 14:00:00.000000
5771|93|9|Killers|2008-08-12 19:00:00.000000
6925|91|9|Sheryl Crow|2008-08-12 15:00:00.000000
7069|53|9|Sevendust|2008-08-12 14:00:00.000000
7446|55|9|David Byrne|2008-08-12 19:30:00.000000
7509|106|9|Third Day|2008-08-12 14:00:00.000000
7920|18|9|Ryan Adams|2008-08-12 15:00:00.000000
8224|89|9|Live|2008-08-12 19:00:00.000000
20|303|8|Boris Godunov|2008-08-13 19:30:00.000000
1955|224|7|Wicked|2008-08-13 20:00:00.000000
2295|243|7|Uncle Vanya|2008-08-13 14:30:00.000000
3962|8|9|Los Temerarios|2008-08-13 14:30:00.000000
4579|17|9|Black Crowes|2008-08-13 15:00:00.000000
5029|100|9|Vans Warped Tour|2008-08-13 14:00:00.000000
5536|9|9|The Who|2008-08-13 19:00:00.000000
6007|66|9|Sweet Honey in the Rock|2008-08-13 14:00:00.000000
6051|15|9|Sheryl Crow|2008-08-13 14:00:00.000000
6737|84|9|Seal|2008-08-13 15:00:00.000000
7709|126|9|Steely Dan|2008-08-13 19:30:00.000000
8324|126|9|Charlie Daniels Band|2008-08-13 14:00:00.000000
843|248|6|Mamma Mia!|2008-08-14 14:00:00.000000
1280|245|6|West Side Story|2008-08-14 14:00:00.000000
1789|258|6|Phantom of the Opera|2008-08-14 19:30:00.000000
3262|235|7|The Farnsworth Invention|2008-08-14 19:30:00.000000
3536|230|7|All My Sons|2008-08-14 14:00:00.000000
3819|24|9|The Raconteurs|2008-08-14 14:30:00.000000
3986|21|9|Led Zeppelin|2008-08-14 15:00:00.000000
4640|60|9|Santana|2008-08-14 14:30:00.000000
5471|55|9|Akon|2008-08-14 19:00:00.000000
5700|16|9|Iron and Wine|2008-08-14 19:30:00.000000
5865|116|9|Santana|2008-08-14 14:00:00.000000
6629|84|9|Smokey Robinson|2008-08-14 19:30:00.000000
6667|113|9|Hall and Oates|2008-08-14 19:00:00.000000
6831|124|9|Melissa Etheridge|2008-08-14 14:00:00.000000
7494|130|9|Pepe Aguilar|2008-08-14 19:00:00.000000
8078|43|9|Citizen Cope|2008-08-14 19:00:00.000000
549|218|6|A Chorus Line|2008-08-15 19:00:00.000000
1125|244|6|The King and I|2008-08-15 20:00:00.000000
4352|23|9|Wilco|2008-08-15 14:00:00.000000
4451|70|9|Garth Brooks|2008-08-15 20:00:00.000000
4951|124|9|Jesse Lacey|2008-08-15 15:00:00.000000
5853|117|9|Black Crowes|2008-08-15 14:00:00.000000
6252|97|9|Ana Gabriel|2008-08-15 19:30:00.000000
6679|57|9|Wilco|2008-08-15 19:30:00.000000
7287|130|9|Umphreys McGee|2008-08-15 15:00:00.000000
7871|54|9|Smashing Pumpkins|2008-08-15 19:00:00.000000
8665|12|9|The Guess Who|2008-08-15 19:00:00.000000
145|306|8|Orfeo ed Euridice|2008-08-16 20:00:00.000000
1218|220|6|Kiss Me Kate|2008-08-16 20:00:00.000000
1439|216|6|Hairspray|2008-08-16 19:00:00.000000
2191|211|7|Uncle Vanya|2008-08-16 14:30:00.000000
2317|220|7|Our Town|2008-08-16 15:00:00.000000
3455|210|7|Avenue Q|2008-08-16 20:00:00.000000
4326|33|9|Los Temerarios|2008-08-16 19:30:00.000000
4961|130|9|Gnarls Barkley|2008-08-16 19:30:00.000000
5014|45|9|Counting Crows|2008-08-16 19:00:00.000000
5594|120|9|Rolling Stones|2008-08-16 14:00:00.000000
6124|85|9|Joe Satriani|2008-08-16 19:00:00.000000
8112|111|9|Third Day|2008-08-16 19:00:00.000000
8167|127|9|Wallflowers|2008-08-16 15:00:00.000000
8575|42|9|Nofx|2008-08-16 19:00:00.000000
3415|245|7|Spring Awakening|2008-08-17 14:00:00.000000
4087|96|9|Feist|2008-08-17 20:00:00.000000
4169|28|9|Ted Nugent|2008-08-17 19:30:00.000000
5054|130|9|Snoop Dogg|2008-08-17 19:00:00.000000
6560|39|9|Billy Joel|2008-08-17 19:30:00.000000
6933|80|9|Dandy Warhols|2008-08-17 19:00:00.000000
8258|34|9|Jill Scott|2008-08-17 15:00:00.000000
8398|58|9|Tina Turner|2008-08-17 19:00:00.000000
126|300|8|The Birds (Die Vogel)|2008-08-18 20:00:00.000000
840|230|6|The Little Mermaid|2008-08-18 19:30:00.000000
1329|206|6|Seven Brides for Seven Brothers|2008-08-18 14:30:00.000000
2704|205|7|Miss Julie|2008-08-18 19:00:00.000000
2998|247|7|Avenue Q|2008-08-18 19:00:00.000000
3344|217|7|Spring Awakening|2008-08-18 14:30:00.000000
4229|100|9|Bullet for My Valentine|2008-08-18 19:00:00.000000
6278|13|9|Billy Joel|2008-08-18 14:00:00.000000
6470|112|9|Eddie Money|2008-08-18 14:00:00.000000
7025|28|9|Rodrigo y Gabriela|2008-08-18 19:30:00.000000
7073|110|9|Tina Turner|2008-08-18 15:00:00.000000
8156|56|9|Manhattan Transfer|2008-08-18 15:00:00.000000
8223|10|9|Zappa Plays Zappa|2008-08-18 15:00:00.000000
8266|28|9|Commodores|2008-08-18 19:30:00.000000
8789|61|9|Projekt Revolution|2008-08-18 19:00:00.000000
270|307|8|La Gioconda|2008-08-19 20:00:00.000000
2083|237|7|Macbeth|2008-08-19 14:30:00.000000
2391|230|7|Glengarry Glen Ross|2008-08-19 15:00:00.000000
3491|233|7|The Caretaker|2008-08-19 14:30:00.000000
7376|23|9|Nofx|2008-08-19 19:30:00.000000
8178|96|9|Jim Brickman|2008-08-19 19:00:00.000000
8472|78|9|Gipsy Kings|2008-08-19 15:00:00.000000
36|304|8|The Magic Flute|2008-08-20 20:00:00.000000
152|305|8|The Birds (Die Vogel)|2008-08-20 19:00:00.000000
599|233|6|Mamma Mia!|2008-08-20 19:00:00.000000
705|243|6|Chicago|2008-08-20 19:00:00.000000
850|247|6|Legally Blonde|2008-08-20 15:00:00.000000
1027|220|6|Dirty Dancing|2008-08-20 14:30:00.000000
1381|243|6|The Little Mermaid|2008-08-20 15:00:00.000000
2139|228|7|Hedda Gabler|2008-08-20 19:30:00.000000
2810|217|7|The Country Girl|2008-08-20 14:30:00.000000
3389|222|7|Woyzeck|2008-08-20 19:00:00.000000
4865|101|9|Poison|2008-08-20 15:00:00.000000
7491|69|9|Wilco|2008-08-20 15:00:00.000000
188|307|8|Gotterdammerung|2008-08-21 15:00:00.000000
1484|235|6|Jersey Boys|2008-08-21 14:30:00.000000
2093|246|7|A Tale of Two Cities|2008-08-21 20:00:00.000000
2437|221|7|The Caretaker|2008-08-21 19:00:00.000000
2514|230|7|Iphigenia|2008-08-21 14:30:00.000000
2749|204|7|Woyzeck|2008-08-21 14:30:00.000000
3865|62|9|Black Eyed Peas|2008-08-21 19:30:00.000000
4391|107|9|Eagles|2008-08-21 14:30:00.000000
4931|40|9|Ben Harper|2008-08-21 14:00:00.000000
5711|77|9|The Guess Who|2008-08-21 19:00:00.000000
5858|121|9|Zucchero|2008-08-21 19:30:00.000000
6267|50|9|Steve Winwood|2008-08-21 14:00:00.000000
6765|14|9|Hot Tuna|2008-08-21 19:30:00.000000
7929|106|9|Sarah Brightman|2008-08-21 14:00:00.000000
8045|2|9|3 Doors Down|2008-08-21 15:00:00.000000
8136|61|9|Iggy and the Stooges|2008-08-21 14:00:00.000000
8555|88|9|John Fogerty|2008-08-21 15:00:00.000000
8704|96|9|The Guess Who|2008-08-21 15:00:00.000000
2773|217|7|A Tale of Two Cities|2008-08-22 14:00:00.000000
3695|214|7|A Doll's House|2008-08-22 19:00:00.000000
4493|116|9|Flogging Molly|2008-08-22 14:30:00.000000
6216|59|9|Children of Bodom|2008-08-22 19:00:00.000000
8394|117|9|Voodoo Music Experience|2008-08-22 14:00:00.000000
8733|64|9|Dave Koz|2008-08-22 19:30:00.000000
828|201|6|Oliver!|2008-08-23 19:00:00.000000
1121|230|6|Grease|2008-08-23 14:30:00.000000
1141|222|6|High Society|2008-08-23 19:00:00.000000
1200|210|6|Oliver!|2008-08-23 15:00:00.000000
3099|231|7|The Farnsworth Invention|2008-08-23 19:00:00.000000
4162|13|9|Killers|2008-08-23 19:00:00.000000
4465|16|9|Lynyrd Skynyrd|2008-08-23 20:00:00.000000
4792|59|9|Jamboree in the Hills|2008-08-23 14:00:00.000000
4972|30|9|Led Zeppelin|2008-08-23 14:00:00.000000
5183|102|9|Motley Crue|2008-08-23 15:00:00.000000
5199|36|9|Rolling Stones|2008-08-23 19:00:00.000000
5467|40|9|Mark Knopfler|2008-08-23 15:00:00.000000
6683|68|9|Serj Tankian|2008-08-23 15:00:00.000000
7006|90|9|Dolly Parton|2008-08-23 19:30:00.000000
8515|25|9|Bonnie Raitt|2008-08-23 14:00:00.000000
1128|225|6|The King and I|2008-08-24 20:00:00.000000
1574|260|6|Blue Man Group|2008-08-24 19:00:00.000000
2015|216|7|Thurgood|2008-08-24 15:00:00.000000
2763|224|7|Rhinoceros|2008-08-24 19:00:00.000000
3001|234|7|Rosencrantz and Guildenstern Are Dead|2008-08-24 19:30:00.000000
4483|37|9|Squeeze|2008-08-24 15:00:00.000000
6130|7|9|Sevendust|2008-08-24 15:00:00.000000
7027|112|9|Bon Jovi|2008-08-24 19:30:00.000000
7305|6|9|Nashville Star|2008-08-24 19:30:00.000000
262|309|8|Das Rheingold|2008-08-25 14:30:00.000000
820|208|6|West Side Story|2008-08-25 15:00:00.000000
2372|237|7|The Cherry Orchard|2008-08-25 14:30:00.000000
4300|48|9|Keb Mo|2008-08-25 19:30:00.000000
5318|115|9|Bloc Party|2008-08-25 14:00:00.000000
5945|19|9|Rock the Bells|2008-08-25 19:00:00.000000
6012|84|9|Little Big Town|2008-08-25 15:00:00.000000
6168|90|9|Little Big Town|2008-08-25 19:00:00.000000
6542|47|9|Vince Gill|2008-08-25 19:30:00.000000
7310|125|9|Iron and Wine|2008-08-25 14:00:00.000000
8231|101|9|Projekt Revolution|2008-08-25 14:00:00.000000
186|307|8|La Sonnambula|2008-08-26 14:00:00.000000
1089|215|6|South Pacific|2008-08-26 19:30:00.000000
1630|257|6|Mystere Cirque du Soleil|2008-08-26 14:00:00.000000
1867|238|7|Waiting for Godot|2008-08-26 15:00:00.000000
1887|201|7|Oedipus the King|2008-08-26 14:30:00.000000
2632|230|7|November|2008-08-26 20:00:00.000000
4631|86|9|Jessica Simpson|2008-08-26 19:30:00.000000
5342|5|9|Dickey Betts and Great Southern|2008-08-26 19:30:00.000000
5663|106|9|Tailgate 2008|2008-08-26 14:00:00.000000
7216|122|9|Gwen Stefani|2008-08-26 15:00:00.000000
7521|37|9|George Jones|2008-08-26 14:00:00.000000
7724|61|9|David Sanborn|2008-08-26 19:30:00.000000
7742|14|9|Kid Rock|2008-08-26 15:00:00.000000
7911|35|9|Alan Jackson|2008-08-26 19:30:00.000000
8122|93|9|Alkaline Trio|2008-08-26 15:00:00.000000
8336|119|9|Scorpions|2008-08-26 19:30:00.000000
78|300|8|La Damnation de Faust|2008-08-27 20:00:00.000000
499|309|8|La Sonnambula|2008-08-27 14:30:00.000000
1472|213|6|Mamma Mia!|2008-08-27 14:00:00.000000
2945|227|7|The Country Girl|2008-08-27 19:30:00.000000
3047|227|7|King Lear|2008-08-27 14:00:00.000000
3096|208|7|Julius Caesar|2008-08-27 14:30:00.000000
7107|46|9|Keith Urban|2008-08-27 15:00:00.000000
7860|126|9|Danny Nova|2008-08-27 15:00:00.000000
869|226|6|Dirty Dancing|2008-08-28 20:00:00.000000
988|218|6|Spamalot|2008-08-28 19:30:00.000000
1226|240|6|Hairspray|2008-08-28 14:00:00.000000
1356|229|6|The King and I|2008-08-28 15:00:00.000000
1760|263|6|Le Reve|2008-08-28 19:00:00.000000
2307|210|7|Othello|2008-08-28 14:30:00.000000
2527|208|7|Macbeth|2008-08-28 14:00:00.000000
2828|238|7|Wicked|2008-08-28 14:30:00.000000
3376|245|7|Young Frankenstein|2008-08-28 14:00:00.000000
6081|121|9|Insane Clown Posse|2008-08-28 19:30:00.000000
6524|69|9|Vince Gill|2008-08-28 15:00:00.000000
6596|105|9|Brand New|2008-08-28 19:30:00.000000
7498|106|9|Gogol Bordello|2008-08-28 14:00:00.000000
7635|112|9|Boz Scaggs|2008-08-28 14:00:00.000000
8310|113|9|Ani DiFranco|2008-08-28 19:00:00.000000
